tenant,deal_id,deal_number,project_number,hubspot_deal_id,hubspot_stage_name,current_stage_id,action,target_stage_id,reason
office_dallas,02c4b3b7-b10a-47a6-b572-ab9b6cbe01a8,HS-237441352417,,237441352417,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
office_dallas,037f812b-555e-4a32-95dc-a1e55b5d77e7,HS-315162974910,DFW-1-06826-ab,315162974910,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
office_dallas,07785c3a-865f-48cd-abb4-3f164bc458f7,HS-323642517199,ATL-3-12726-ac,323642517199,RFP,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'RFP' maps to Due Diligence
office_dallas,0f888098-3b04-4855-a521-2ee29212e9a6,HS-324283512530,DFW-4-12826-al,324283512530,Service - Estimating,1aefe9a3-98b3-4169-8895-bd851e02d923,skip_already_correct,,current stage 1aefe9a3-98b3-4169-8895-bd851e02d923 is not opportunity; respecting import-script routing
office_dallas,12e3c0d4-27fb-4b1c-90e6-c62a82f08497,HS-324289951457,DFW-4-12826-ab,324289951457,Service - Estimating,1aefe9a3-98b3-4169-8895-bd851e02d923,skip_already_correct,,current stage 1aefe9a3-98b3-4169-8895-bd851e02d923 is not opportunity; respecting import-script routing
office_dallas,1c1a939d-7190-48c7-b15b-3783851e1c20,HS-318651319000,DFW-2-09026-ae,318651319000,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
office_dallas,230e1235-9566-4d8a-ba84-1af2c121c01c,HS-320623705821,DFW-2-10326-ab,320623705821,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
office_dallas,2926239b-2fe9-4af1-b55b-e10df66a729d,HS-323527098093,DFW-3-12526-ad,323527098093,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
office_dallas,3d644257-bf45-4c63-af19-9e7e699e2f5e,HS-324283495135,ATL-2-12826-ah,324283495135,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
office_dallas,43fb4a5e-9b21-4bd4-b838-c2d878a91aa9,HS-324288514808,DFW-4-12826-aa,324288514808,Deal Canceled,b8aa9f64-99f5-4700-b29b-78b86865a257,skip_already_correct,,current stage b8aa9f64-99f5-4700-b29b-78b86865a257 is not opportunity; respecting import-script routing
office_dallas,4775434f-88a0-4862-a4f5-217089920362,HS-324067680960,ATL-1-12626-ah,324067680960,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
office_dallas,5c429545-e835-46fc-a50a-be078be6253c,HS-323230358212,ATL-1-12026-ag,323230358212,Pipe Line,03ab1b79-9412-43ec-82b4-624e0a60fd19,move_to_dd,0416a7db-1e5a-4d0a-88a2-bc5f1480755c,HubSpot stage 'Pipe Line' maps to Due Diligence
