tenant,deal_id,hubspot_deal_id,action,reason,old_value,new_value,collision_deal_id,collision_hubspot_deal_id
office_dallas,00f7c38a-f84e-5fcd-8bf5-99d1e94f1e0f,321685825253,UPDATE,canonical preserved project_number,,ATL-4-11126-aa,,
office_dallas,01600d50-34b6-531f-b4f7-67cb0348f616,276777157317,UPDATE,canonical preserved project_number,,DFW-5-02826-ac,,
office_dallas,03ade023-a470-5112-965a-3d291948a455,320343444217,UPDATE,canonical preserved project_number,,DFW-4-09926-ad,,
office_dallas,044e2641-c202-59c5-ad76-e78eac799c8f,277845811951,UPDATE,canonical preserved project_number,,DFW-7-02926-ab,,
office_dallas,0585db29-3230-5995-a1fa-5352ac683da5,320535847662,UPDATE,canonical preserved project_number,,DFW-4-10326-ai,,
office_dallas,075ff48e-eb75-5fd7-8ad0-96fc067a7d1e,285661468367,UPDATE,canonical preserved project_number,,DFW-4-03626-am,,
office_dallas,076e4c0a-9c2b-59b2-84fe-7de386a913a6,320623110859,UPDATE,canonical preserved project_number,,DFW-4-10426-ab,,
office_dallas,07c015c3-8bf6-5770-921b-73058ada9625,320833839829,UPDATE,canonical preserved project_number,,DFW-4-10326-ah,,
office_dallas,0a10246e-2761-59de-b686-413a5354dc46,318186066630,UPDATE,canonical preserved project_number,,DFW-4-08926-ac,,
office_dallas,0a3e547a-c891-5963-a67a-7ada9cebdb1f,272715894483,UPDATE,canonical preserved project_number,,DFW-1-02626-ab,,
office_dallas,0a95577a-ccf7-536b-bcf9-5521888257a1,300329686765,UPDATE,canonical preserved project_number,,DFW-2-05126-aa,,
office_dallas,0a971220-76cd-5a1a-995f-4124ddcb95d8,309979423458,UPDATE,canonical preserved project_number,,DFW-1-06226-ab,,
office_dallas,0ab56ed2-f569-552b-9dd6-370ff764123d,38465598722,UPDATE,canonical preserved project_number,,DFW-1-21725-aa,,
office_dallas,0b16f161-b574-565c-9a90-074d43a4e289,234789351156,UPDATE,canonical preserved project_number,,ATL-2-34025-aa,,
office_dallas,0b4c620a-80fc-537c-a5dc-e30487dad27f,269389222593,UPDATE,canonical preserved project_number,,DFW-4-02226-ab,,
office_dallas,0c14715e-cd00-5140-8956-a17c3bcc2e2f,320622989025,UPDATE,canonical preserved project_number,,DFW-4-10326-ae,,
office_dallas,0c653e60-be73-5abf-a2dc-1ad018637e6a,305429947125,UPDATE,canonical preserved project_number,,DFW-4-05526-af,,
office_dallas,0ec80d98-6190-5851-8274-d1ed425531a2,292827992794,UPDATE,canonical preserved project_number,,DFW-4-04126-aa,,
office_dallas,0ed7d709-86b3-5d3c-a359-fef7e4a0cb76,272715728588,UPDATE,canonical preserved project_number,,DFW-1-02326-aj,,
office_dallas,10349924-fc34-510e-a4b8-40484d11d749,315799593659,UPDATE,canonical preserved project_number,,DFW-4-06926-ad,,
office_dallas,10658d6d-8b48-5a51-a2bb-f2292e536369,312553355979,UPDATE,canonical preserved project_number,,DFW-4-06426-ad,,
office_dallas,10bb716d-b8a3-55c8-bae9-96e9ef0fbb8e,323526083316,UPDATE,canonical preserved project_number,,DFW-4-12126-ab,,
office_dallas,10c908a4-8a04-5670-ac15-2c3c0338577c,319309870822,UPDATE,canonical preserved project_number,,DFW-4-09326-af,,
office_dallas,11910f58-3b0f-5b97-903a-fd9c9d0143b5,271450822362,UPDATE,canonical preserved project_number,,DFW-4-02226-aa,,
office_dallas,1289202a-d0c1-5193-b8c0-612b3feab2d1,269389132488,UPDATE,canonical preserved project_number,,DFW-1-02126-ae,,
office_dallas,131a6a87-b4fc-57e7-a16d-edf052295e66,318537199304,UPDATE,canonical preserved project_number,,DFW-4-08926-ai,,
office_dallas,131db2fc-2c34-5de0-b2e4-305f83752609,317995509444,UPDATE,canonical preserved project_number,,DFW-2-08526-aa,,
office_dallas,139d373d-0a80-507c-976a-726965b055ea,316930178772,UPDATE,canonical preserved project_number,,DFW-4-07726-ai,,
office_dallas,1407ffbe-dcbf-5401-972c-da2541654505,311950626528,UPDATE,canonical preserved project_number,,DFW-4-06426-ab,,
office_dallas,14343f30-20c5-515e-854e-ac671afea4c4,305110954691,UPDATE,canonical preserved project_number,,DFW-4-05526-ac,,
office_dallas,1594c45e-8ffa-5fa3-b089-52e976ac3a5e,318530712265,UPDATE,canonical preserved project_number,,DFW-4-08926-af,,
office_dallas,164bd91b-174a-5b99-a898-4b67dd33c6dd,321011905255,UPDATE,canonical preserved project_number,,DFW-4-10626-aa,,
office_dallas,17972b4b-1c7f-5c94-81a0-ddb6efa1abb6,319373521626,UPDATE,canonical preserved project_number,,DFW-4-09326-ag,,
office_dallas,17f8009f-d711-56b9-8808-1b7f47b7ba81,278368357080,UPDATE,canonical preserved project_number,,DFW-7-02926-ak,,
office_dallas,190b81b6-3a6a-5cfd-a627-223243e81d65,318902044387,UPDATE,canonical preserved project_number,,DFW-1-09026-ai,,
office_dallas,191ed8d1-183e-50f8-aeaa-4ce959b6815c,277854579439,UPDATE,canonical preserved project_number,,DFW-4-02926-ad,,
office_dallas,192395b2-ada1-58fd-8ec0-52a29e74ce9c,322269410002,UPDATE,canonical preserved project_number,,DFW-4-11426-aa,,
office_dallas,19bdeb86-87b6-56af-ba6c-32f8af75d765,320622288580,UPDATE,canonical preserved project_number,,DFW-3-10326-ad,,
office_dallas,1a0b3410-0d9b-5907-90de-64d0883c8972,323527002842,UPDATE,canonical preserved project_number,,DFW-4-12426-aa,,
office_dallas,1a5bd244-d5ed-514e-9ecb-0c7ac37f2f96,322923638464,UPDATE,canonical preserved project_number,,DFW-4-11726-ac,,
office_dallas,1aa935d0-4e10-596d-914a-13960bd1d7b3,323641645783,UPDATE,canonical preserved project_number,,DFW-4-12526-af,,
office_dallas,1b4d5f0e-7a9d-56ff-a829-deab76afd6bd,279689714386,UPDATE,canonical preserved project_number,,ATL-1-03026-ac,,
office_dallas,1b61087d-83d0-56d3-8547-f220ee3ffb94,321440797370,UPDATE,canonical preserved project_number,,DFW-4-11026-aa,,
office_dallas,1be87eed-cad4-545f-b738-91f1e67d782b,256863910610,UPDATE,canonical preserved project_number,,DFW-2-00726-ab,,
office_dallas,1c3679ce-8e57-5c3a-859a-2692d529f296,293076271864,UPDATE,canonical preserved project_number,,DFW-2-04126-ad,,
office_dallas,1c694393-8726-583e-9754-93c484d72b60,260627908314,UPDATE,canonical preserved project_number,,DFW-1-01326-aa,,
office_dallas,1cad0a9f-02fd-544d-9271-9e9873bcd2de,311546866423,UPDATE,canonical preserved project_number,,DFW-1-06326-ag,,
office_dallas,1e2ec102-dff7-57eb-bec8-8a218818c823,316076302043,UPDATE,canonical preserved project_number,,DFW-4-07026-ag,,
office_dallas,1e69f067-b385-52f3-adbd-cca9691b1179,294977063655,UPDATE,canonical preserved project_number,,DFW-4-04326-ac,,
office_dallas,1f18e78c-4bfb-5ab5-970d-e65564893771,310402334400,UPDATE,canonical preserved project_number,,DFW-4-06226-ae,,
office_dallas,1f65a7b9-d845-5b39-82ab-b75ae9e7f4d7,320340607692,UPDATE,canonical preserved project_number,,DFW-4-09926-aj,,
office_dallas,217c572b-680a-550f-b8da-7fd3c8604a5a,305432086211,UPDATE,canonical preserved project_number,,DFW-4-05526-ag,,
office_dallas,21867ad5-599e-524d-b65f-968bcb39b4a1,316930993885,UPDATE,canonical preserved project_number,,DFW-4-07826-ae,,
office_dallas,224b8ce1-859f-5166-b81f-20daa74a0222,310409546431,UPDATE,canonical preserved project_number,,DFW-1-06226-ag,,
office_dallas,2326781b-e5b5-54ef-a760-def6ab4dbce8,310419020493,UPDATE,canonical preserved project_number,,DFW-4-06226-ad,,
office_dallas,23719741-37aa-5cb9-aa65-717d8555c656,316634100467,UPDATE,canonical preserved project_number,,DFW-1-07626-ac,,
office_dallas,238f96d6-9901-57b1-b919-ff31da4a6445,320334086895,UPDATE,canonical preserved project_number,,DFW-4-09926-ae,,
office_dallas,242567ec-af58-5895-9867-b71e0c0a8efd,304628223699,UPDATE,canonical preserved project_number,,DFW-4-05626-ab,,
office_dallas,251f99f2-2fe8-5220-89fc-928015cc1bfb,272713552617,UPDATE,canonical preserved project_number,,ATL-4-02326-aa,,
office_dallas,25fa7479-e384-51fb-aecf-06a980fc5928,39256851891,UPDATE,canonical preserved project_number,,DFW-9-00526-aa,,
office_dallas,271440d3-17c1-5e1e-b773-4171266169b0,316261977834,UPDATE,canonical preserved project_number,,DFW-1-07526-aa,,
office_dallas,28de9986-488c-5b27-96e1-0a950dd0e3e7,323517840079,UPDATE,canonical preserved project_number,,DFW-4-12626-ae,,
office_dallas,2968f6ac-8b35-5160-a7c1-80578b04e0a6,323519357633,UPDATE,canonical preserved project_number,,DFW-4-12726-ab,,
office_dallas,29998642-178d-5bf9-b277-17ac18850490,275198533356,UPDATE,canonical preserved project_number,,DFW-7-02726-ae,,
office_dallas,2a145c91-8469-5b37-b8da-2eac50716974,316634162882,UPDATE,canonical preserved project_number,,DFW-1-07726-ad,,
office_dallas,2a59531f-a359-5f01-9fcb-8890b0b0c017,273338607345,UPDATE,canonical preserved project_number,,DFW-1-02326-af,,
office_dallas,2ada8d70-2508-5f55-a3b1-cae8bc0177f0,300331161303,UPDATE,canonical preserved project_number,,DFW-4-05126-ab,,
office_dallas,2b708ecb-f019-5ed2-9ba7-1ff15980791e,316625530589,UPDATE,canonical preserved project_number,,DFW-1-07626-ae,,
office_dallas,2d4ce67a-e7a3-5e5e-ae7f-096c1cad6c16,269511773931,UPDATE,canonical preserved project_number,,DFW-1-02026-ac,,
office_dallas,2d50297f-91d3-5d2c-b385-c58a9475febb,322467167974,UPDATE,canonical preserved project_number,,DFW-4-11426-af,,
office_dallas,2d57e7af-9c12-5587-9911-97646f3d8230,283604451039,UPDATE,canonical preserved project_number,,DFW-1-03326-aj,,
office_dallas,2d767469-27e0-5780-8c9b-d1dff4cddc35,323527105212,UPDATE,canonical preserved project_number,,DFW-2-12526-ag,,
office_dallas,2e5e1a4f-f06b-5a19-a86e-622524661d13,294160115414,UPDATE,canonical preserved project_number,,ATL-2-04226-ad,,
office_dallas,2fa4dcae-30f8-57ba-9420-89f0364d9f1e,323230324441,UPDATE,canonical preserved project_number,,DFW-1-12026-ac,,
office_dallas,2fa50480-97ff-59c8-bc77-60f4f75705ec,322910765816,UPDATE,canonical preserved project_number,,DFW-4-11926-ad,,
office_dallas,2ff576dc-f5ad-5912-a86d-432e6e420108,313732249283,UPDATE,canonical preserved project_number,,DFW-1-06526-ab,,
office_dallas,311980e0-c65c-579b-823b-c0cc7e08285c,318651318970,UPDATE,canonical preserved project_number,,DFW-1-09026-ad,,
office_dallas,314909dd-b7f8-5922-8566-d566feec0e6c,296282070742,UPDATE,canonical preserved project_number,,DFW-4-04426-ab,,
office_dallas,3165bd0c-7a4f-53d5-a930-72235e96306b,267448882892,UPDATE,canonical preserved project_number,,DFW-1-02226-ad,,
office_dallas,31a24fff-c092-5414-96f6-bc408d88d3e8,262368118502,UPDATE,canonical preserved project_number,,DFW-1-01426-aa,,
office_dallas,32022744-730e-58e7-9b1e-a636eddad4fa,318341189328,UPDATE,canonical preserved project_number,,DFW-1-08926-aa,,
office_dallas,322df82a-c261-5fd6-b2c2-520d6abc99a5,316930236129,UPDATE,canonical preserved project_number,,DFW-4-07826-aa,,
office_dallas,3231cad1-a56d-5f73-9e28-c349ceb7ebe1,320836694775,UPDATE,canonical preserved project_number,,DFW-4-10526-ac,,
office_dallas,32abb459-6a12-5b28-b2e9-cf6c196e5d02,316333332154,UPDATE,canonical preserved project_number,,DFW-4-07326-aa,,
office_dallas,337bb1d7-422d-58d3-9d0f-b564a7e0f6b1,275293729528,UPDATE,canonical preserved project_number,,DFW-1-04726-ab,,
office_dallas,339f4904-40d5-5927-b60d-512b895cf608,317994858181,UPDATE,canonical preserved project_number,,DFW-2-08626-ab,,
office_dallas,34fc1763-01de-5019-bc06-2c999dbcb7f6,294210755305,UPDATE,canonical preserved project_number,,DFW-4-04326-ad,,
office_dallas,35e4524d-0f82-543a-b282-44450025e9a3,295236251377,UPDATE,canonical preserved project_number,,DFW-4-04426-aa,,
office_dallas,362efa10-bad9-53ab-b0bb-3ac9fdce2626,318907123403,UPDATE,canonical preserved project_number,,DFW-4-09126-af,,
office_dallas,367ce972-b8d1-5cf0-914f-5e961ccccbf4,267668301531,UPDATE,canonical preserved project_number,,DFW-1-02126-ad,,
office_dallas,371aaf77-0d82-5da8-8670-e977eaf8c5d6,318904206030,UPDATE,canonical preserved project_number,,DFW-4-09026-aj,,
office_dallas,391c9ce5-26f7-5518-9b1d-d00b8c52e7ec,319860772597,UPDATE,canonical preserved project_number,,DFW-1-09726-aa,,
office_dallas,39672aa1-a685-53e6-b431-beee8b777ade,309753599713,UPDATE,canonical preserved project_number,,DFW-2-06226-aa,,
office_dallas,3972ad03-c759-5eb2-a0a6-54bb419bdb06,315212364481,UPDATE,canonical preserved project_number,,DFW-1-06826-aa,,
office_dallas,399e2f29-f028-5606-a37f-09b38580eff3,321765328609,UPDATE,canonical preserved project_number,,DFW-2-11126-aj,,
office_dallas,3a11d546-3887-554b-96ed-db7707701370,316625530574,UPDATE,canonical preserved project_number,,DFW-4-07626-ad,,
office_dallas,3ad35329-51a7-5ba0-973e-bc9b865f0786,39286865285,UPDATE,canonical preserved project_number,,DFW-3-07726-ag,,
office_dallas,3b234bbe-fef3-5e25-bc4e-5d6dd563ee6f,231820857044,UPDATE,canonical preserved project_number,,DFW-2-33625-aa,,
office_dallas,3ca0b6c3-31ec-5a6f-bfc8-afd1d69c0850,272709931717,UPDATE,canonical preserved project_number,,DFW-1-02326-ai,,
office_dallas,3cc80392-e112-5b26-9c70-165ea0b2d022,317791531720,UPDATE,canonical preserved project_number,,DFW-4-08426-ac,,
office_dallas,3db3dc01-4929-5987-9c2a-464d872b454b,317911001791,UPDATE,canonical preserved project_number,,DFW-4-08426-aa,,
office_dallas,3e5f9644-f65c-5a57-a18f-961db6bdfb62,324090630867,UPDATE,canonical preserved project_number,,DFW-4-12626-ag,,
office_dallas,3f786c13-dfef-5c09-be18-e9b9a6350765,272715719357,UPDATE,canonical preserved project_number,,DFW-1-02326-ad,,
office_dallas,405ef9bb-8074-57db-848a-5a71819f0c67,317243890406,UPDATE,canonical preserved project_number,,DFW-4-07926-ac,,
office_dallas,40a1a80b-c957-53e5-8fca-f01277f5411a,304874708699,UPDATE,canonical preserved project_number,,DFW-7-05526-aa,,
office_dallas,43019a64-24b2-5319-85c2-1a83428f69e2,323642346179,UPDATE,canonical preserved project_number,,DFW-3-12526-ab,,
office_dallas,435045d6-6b0d-5ae3-ac24-cec50d69d197,319357333183,UPDATE,canonical preserved project_number,,DFW-1-09326-ah,,
office_dallas,4434fa43-7493-597a-b42e-9d4b82235756,317194130169,UPDATE,canonical preserved project_number,,DFW-4-08226-ad,,
office_dallas,4620a07c-ef18-5fab-9e76-60e84356b466,300443528926,UPDATE,canonical preserved project_number,,DFW-1-04826-af,,
office_dallas,462530f8-836d-5c46-bfaa-be9b69515353,323526812385,UPDATE,canonical preserved project_number,,DFW-4-12126-ae,,
