tenant,deal_id,hubspot_deal_id,action,reason,old_value,new_value,collision_deal_id,collision_hubspot_deal_id
office_dallas,2b916950-9012-524a-934e-3a0ef5ebbf87,40317700387,SKIP,legacy format,,1-RNA.1-073125,,
office_dallas,2c0d1fd7-bb01-551c-846a-ab4ea54cfd8c,35753414993,SKIP,legacy format,,TMDRKAWNING,,
office_dallas,2e8af413-a6ad-5fb4-a85f-34c7c6240e7f,237430454991,SKIP,legacy format,,TRPPBRCLUB,,
office_dallas,2ea97cff-79b5-5e8b-a966-f27b40942639,38800246849,SKIP,legacy format,,ASR48SODD,,
office_dallas,313bfcd1-1d3e-5fd3-8d6e-84436c846433,39060954395,SKIP,legacy format,,1-TLV.1-091025,,
office_dallas,31a9764d-001a-5ac4-9428-d124c4d4c0e2,37551325006,SKIP,legacy format,,TMHVACTFORCE,,
office_dallas,31df8a1f-10d4-5c95-ad9d-ff93cd9d8a87,216640728825,SKIP,legacy format,,2-RSP1-111225,,
office_dallas,320eb7f0-a052-50ff-b66b-fb00e5328799,233264227031,SKIP,legacy format,,2-CDA5-120425,,
office_dallas,32d13c1d-1e9e-5df8-aa86-7a3975b9f3b3,35751367239,SKIP,legacy format,,TMVMCASPHALT,,
office_dallas,348ce4a1-a01b-42c8-b603-4c1f5b2ae041,,SKIP,no preserved value,,,,
office_dallas,34c72d3d-58c7-54df-8d22-f1295acb6468,239542699723,SKIP,legacy format,,2-CSA11-121525,,
office_dallas,35320517-9b79-5a4a-9cac-956f3d52e3e8,204624395979,SKIP,legacy format,,2-RHR1-103025,,
office_dallas,3536dc71-6bb8-57b6-8de5-6e273a07a93e,31684556455,SKIP,legacy format,,ASWMREPIPE,,
office_dallas,35611262-23f8-5969-86bc-0627806a2bbb,250775951059,SKIP,legacy format,,2-TLP7-123025,,
office_dallas,35e5b7ba-d9ed-534c-b0c2-37532fc62016,42448826227,SKIP,legacy format,,1-TND.0-FPI-08192025,,
office_dallas,35ed76d2-b204-5d28-9600-0ab1f7cc6d13,262223996662,SKIP,legacy format,,2-R@37-011426,,
office_dallas,368c8ec6-a717-5791-b87c-2f4b9b26e844,39349109558,SKIP,legacy format,,1-RBR.1-093025,,
office_dallas,3764b2e9-b478-5ec8-b100-1584fbcb88bd,238645369580,SKIP,legacy format,,2-CSA11-121225,,
office_dallas,37667fd1-99ad-582d-bc1c-69216c6a5484,38850568741,SKIP,legacy format,,ASSCOPESILVER,,
office_dallas,37c2f00d-4a0a-53fd-9da1-11f1aac2c32e,41338620946,SKIP,legacy format,,JHHERITAGE,,
office_dallas,38142403-8f20-540a-ac1a-a40032c0d8d3,41348543548,SKIP,legacy format,,CBMAAGRPRF,,
office_dallas,381aa3a5-4f06-5cce-b2c6-725e75b1704e,216534909689,SKIP,legacy format,,TMWPREBULD,,
office_dallas,3827b361-926f-56e5-9e15-0e664824df92,38286299824,SKIP,legacy format,,KMRPMEMPKR,,
office_dallas,38444fc8-9bda-537c-abb5-2083e4f2ff40,175110075119,SKIP,legacy format,,KMMBGUTTER,,
office_dallas,393d81d5-9fb0-5576-95fa-67916df8cf69,39327730213,SKIP,legacy format,,RPMKMSHLDW,,
office_dallas,39755eee-86cc-5c52-a762-75b4a8a93ed5,36419352484,SKIP,legacy format,,ASSLROOF,,
office_dallas,3a475f8e-f7db-5406-881c-6c74cdb6eabc,194088474340,SKIP,legacy format,,TMAAUNITBB,,
office_dallas,3b6f0201-a426-5092-a10a-ef7d052c227b,37238223875,SKIP,legacy format,,TMGATEMAILBOX,,
office_dallas,3bee1aa9-5f4b-590e-b3b3-a70a68334b32,41078935140,SKIP,legacy format,,CBSILVERDH,,
office_dallas,3cbeecac-520f-5b1b-9415-f5a5b16c5843,36810624568,SKIP,legacy format,,ASJONE2109,,
office_dallas,3f0e2ce4-4adc-594a-b6fb-57a4320468b9,194132514491,SKIP,legacy format,,TMLGPCAPEX,,
office_dallas,3f7e3854-11fa-5844-b2ca-e2adff67e7f6,43896773047,SKIP,legacy format,,TMMROOFREP,,
office_dallas,40dbd232-f385-5301-ae19-ad180cc52db6,42657506672,SKIP,legacy format,,2-RTE-Rise48-082125,,
office_dallas,422ac5f4-0402-524f-b521-7c4a9ec7b093,37182508452,SKIP,legacy format,,TMROOFPALADIN,,
office_dallas,443053f4-603e-5579-9c2a-1302e35d6e1f,40832572577,SKIP,legacy format,,KWWFREPAIR,,
office_dallas,44bad754-1502-50f0-8016-9887be71a165,187331613409,SKIP,legacy format,,TMFFMROOF,,
office_dallas,46037a3c-6580-579c-b636-ee37646a3fd5,38567295844,SKIP,legacy format,,TMARCADDECK,,
office_dallas,464ab613-6cb5-5866-8a9f-d4f1b280e822,41514195854,SKIP,legacy format,,KMMRMAILBX,,
office_dallas,4736cefd-b218-52d8-a708-eff2f301eb78,178921261762,SKIP,legacy format,,2-MMC.5-100125,,
office_dallas,486e6212-527c-5530-ac32-422e65a1431f,39221998689,SKIP,legacy format,,ASHWCLUBHS,,
office_dallas,48de1ff2-c4f6-51c7-ab62-b42eff1341df,39867124043,SKIP,legacy format,,KMMONTGATE,,
office_dallas,491037de-5b13-5ff7-b28c-a7bca96898a7,259349221108,SKIP,legacy format,,7-5001-111125,,
office_dallas,49252625-8f04-5ea0-87a2-6362a0aee60e,188106442453,SKIP,legacy format,,2-SLA.5-101525,,
office_dallas,499f13d8-a635-58a7-82fa-b47b6e1c57b7,43896915799,SKIP,legacy format,,2-TLV.1-091825,,
office_dallas,4c64f36f-084a-5f73-9436-58e63eccc9dc,41437971127,SKIP,legacy format,,CB4110GALT,,
office_dallas,4cff643e-a83d-5f50-b7ff-96910cc6f090,212628222707,SKIP,legacy format,,2-TPL1-110725,,
office_dallas,4dfcbbac-0f8f-5330-bedf-20c6852e885c,42229026351,SKIP,legacy format,,2-301-Greystar-081525,,
office_dallas,4f1ca520-a683-5293-8d86-b720537a7b68,42093931659,SKIP,legacy format,,ASPPEPAINT,,
office_dallas,50d2203f-d0fc-5f9b-9f5b-d6b223b0eaa9,250775949014,SKIP,legacy format,,2-TPL6-122225,,
